Base Query,Rewritten 1,Rewritten 2,Rewritten 3,Điều,Chương,Trả lời
"Bảo đảm trật tự, an toàn giao thông đường bộ là trách nhiệm của ai?","Ai chịu trách nhiệm giữ gìn trật tự, an toàn giao thông?",Bảo đảm an toàn giao thông thuộc trách nhiệm của cá nhân hay tổ chức nào?,Trách nhiệm về an toàn giao thông thuộc về ai?,3,1,"Bảo đảm trật tự, an toàn giao thông đường bộ là trách nhiệm của cơ quan, tổ chức và cá nhân."
Vi phạm an toàn giao thông đường bộ sẽ bị xử lý như thế nào?,Hành vi vi phạm giao thông bị xử lý ra sao?,"Nếu vi phạm giao thông, người vi phạm sẽ bị xử lý thế nào?",Có biện pháp nào xử lý các hành vi vi phạm an toàn giao thông?,3,1,"Mọi hành vi vi phạm pháp luật về trật tự, an toàn giao thông đường bộ đều phải được phát hiện, ngăn chặn kịp thời và xử lý nghiêm minh theo quy định."
"Việc bảo đảm trật tự, an toàn giao thông đường bộ cần đáp ứng nguyên tắc gì?",Những nguyên tắc nào cần tuân thủ khi đảm bảo an toàn giao thông?,Đảm bảo an toàn giao thông phải tuân theo các nguyên tắc nào?,Khi thực hiện công tác an toàn giao thông cần lưu ý những gì?,3,1,"Hoạt động bảo đảm trật tự, an toàn giao thông phải công khai, minh bạch, thuận lợi cho người dân và phù hợp với chức năng, nhiệm vụ của các bên liên quan."
"Hoạt động bảo đảm trật tự, an toàn giao thông được thực hiện như thế nào?",Cách thức thực hiện công tác bảo đảm an toàn giao thông ra sao?,Công tác an toàn giao thông cần phối hợp như thế nào?,Việc duy trì an toàn giao thông được tổ chức thế nào?,3,1,"Hoạt động bảo đảm trật tự, an toàn giao thông được thực hiện thống nhất, trên cơ sở phân công, phân cấp, phù hợp với chức năng, nhiệm vụ và có sự phối hợp chặt chẽ giữa các cơ quan, tổ chức, cá nhân."
Vì sao việc bảo đảm giao thông đường bộ lại quan trọng?,Tại sao cần chú trọng bảo đảm an toàn giao thông?,Đảm bảo trật tự giao thông mang lại lợi ích gì?,Ý nghĩa của việc giữ gìn an toàn giao thông là gì?,3,1,"Việc bảo đảm giao thông đường bộ giúp phát triển kinh tế - xã hội, đảm bảo quốc phòng, an ninh, bảo vệ môi trường, phòng ngừa tai nạn và bảo vệ tính mạng, tài sản của người dân và tổ chức."
Công dân cần tuân thủ những quy định nào khi tham gia giao thông?,Người dân phải làm gì để bảo đảm an toàn khi tham gia giao thông?,Có quy định gì bắt buộc cho người tham gia giao thông?,Người đi đường cần tuân theo các quy tắc nào?,3,1,"Công dân cần tuân thủ Hiến pháp, pháp luật Việt Nam và các điều ước quốc tế mà Việt Nam là thành viên khi tham gia giao thông."
"Nhà nước hỗ trợ gì cho lực lượng đảm bảo trật tự, an toàn giao thông?",Lực lượng trực tiếp giữ gìn an toàn giao thông được Nhà nước hỗ trợ ra sao?,Nhà nước đầu tư như thế nào cho lực lượng đảm bảo an toàn giao thông?,Có chính sách gì giúp nâng cao năng lực cho lực lượng an toàn giao thông?,4,1,"Nhà nước đảm bảo ngân sách, cơ sở vật chất, phương tiện hiện đại và các điều kiện để nâng cao năng lực cho lực lượng trực tiếp bảo đảm trật tự, an toàn giao thông. Đồng thời, sử dụng nguồn thu từ xử phạt và đấu giá biển số xe để tăng cường cơ sở vật chất."
Nhà nước làm gì để hiện đại hoá hệ thống giao thông?,Hệ thống giao thông được hiện đại hóa bằng những biện pháp nào?,Nhà nước có biện pháp gì để nâng cấp các trung tâm chỉ huy giao thông?,Việc hiện đại hóa giao thông được Nhà nước thực hiện ra sao?,4,1,"Nhà nước hiện đại hoá các trung tâm chỉ huy giao thông, đảm bảo kết nối, chia sẻ cơ sở dữ liệu về trật tự, an toàn giao thông giữa các cơ quan liên quan."
"Làm thế nào để khuyến khích tổ chức, cá nhân tham gia đảm bảo an toàn giao thông?",Nhà nước khuyến khích người dân và tổ chức hỗ trợ an toàn giao thông như thế nào?,"Làm sao để cơ quan, cá nhân cùng tham gia giữ gìn trật tự giao thông?","Làm sao để cơ quan, cá nhân cùng tham gia giữ gìn trật tự giao thông?",4,1,"Nhà nước tạo điều kiện cho cơ quan, tổ chức, cá nhân nghiên cứu, chuyển giao công nghệ, đầu tư thiết bị giám sát và khuyến khích tham gia tự nguyện vào công tác bảo đảm an toàn giao thông."
Những đối tượng nào được tạo điều kiện khi tham gia giao thông?,Nhà nước hỗ trợ đối tượng nào khi tham gia giao thông?,Ai được ưu tiên khi tham gia giao thông đường bộ?,Những người nào được tạo điều kiện an toàn khi tham gia giao thông?,4,1,"Nhà nước bảo đảm công bằng, an toàn cho người tham gia giao thông, tạo thuận lợi cho trẻ em, phụ nữ mang thai, người già yếu và người khuyết tật."
Có chính sách gì để giáo dục ý thức tham gia giao thông cho trẻ em?,Nhà nước làm gì để dạy trẻ em về an toàn giao thông?,Trẻ em được giáo dục giao thông như thế nào?,Có chương trình nào giúp học sinh nâng cao ý thức khi tham gia giao thông?,4,1,"Nhà nước xây dựng văn hóa giao thông, giáo dục pháp luật về giao thông cho trẻ em và học sinh để nâng cao ý thức tự bảo vệ bản thân."
Những ai được khen thưởng hoặc hỗ trợ khi tham gia đảm bảo an toàn giao thông?,Ai được hưởng chế độ khi hỗ trợ công tác an toàn giao thông?,Nhà nước hỗ trợ thế nào với người giúp đỡ công tác giao thông?,Có chính sách khen thưởng nào cho người tham gia đảm bảo trật tự giao thông?,4,1,"Cơ quan, tổ chức, cá nhân hỗ trợ đảm bảo an toàn giao thông và có thành tích được khen thưởng; nếu bị thiệt hại tài sản hoặc tổn hại sức khỏe sẽ được đền bù và hưởng chế độ theo quy định."
Nhà nước có biện pháp gì để hạn chế phương tiện cá nhân?,Làm thế nào để giảm số lượng xe cá nhân tại các thành phố lớn?,Nhà nước hạn chế phương tiện giao thông cá nhân ra sao?,Có giải pháp nào nhằm hạn chế sử dụng xe cá nhân?,4,1,"Nhà nước ưu tiên phát triển giao thông công cộng, hạn chế phương tiện cá nhân tại đô thị lớn và khuyến khích chuyển sang sử dụng phương tiện xanh, thân thiện môi trường."
Nhà nước phát triển phương tiện giao thông theo hướng nào?,Xu hướng phát triển giao thông của Nhà nước là gì?,Phương tiện giao thông được phát triển theo tiêu chí nào?,Nhà nước ưu tiên loại phương tiện nào trong tương lai?,4,1,"Nhà nước phát triển phương tiện giao thông đồng bộ với hạ tầng, ưu tiên xe điện, phương tiện năng lượng xanh, đảm bảo an toàn và phù hợp với công nghệ hiện đại."
Ai là người chịu trách nhiệm tuyên truyền pháp luật về an toàn giao thông?,"Những cơ quan, tổ chức nào tham gia phổ biến luật giao thông?",Ai có trách nhiệm trong việc tuyên truyền an toàn giao thông?,Việc tuyên truyền luật giao thông được giao cho ai phụ trách?,5,1,"Cơ quan quản lý nhà nước về trật tự, an toàn giao thông chủ trì, phối hợp với các cơ quan, tổ chức, cá nhân liên quan. Đồng thời, cơ quan thông tin, truyền thông, Mặt trận Tổ quốc Việt Nam và các tổ chức thành viên, đơn vị lực lượng vũ trang, cơ sở giáo dục và chính quyền địa phương đều có trách nhiệm tuyên truyền."
"Cơ quan thông tin, truyền thông đóng vai trò gì trong việc phổ biến luật giao thông?",Truyền thông có nhiệm vụ gì trong việc tuyên truyền an toàn giao thông?,Cơ quan thông tin đại chúng tham gia thế nào trong việc phổ biến luật giao thông?,Vai trò của truyền thông trong việc nâng cao ý thức giao thông là gì?,5,1,"Cơ quan thông tin, truyền thông có trách nhiệm tổ chức tuyên truyền pháp luật về an toàn giao thông trên các phương tiện thông tin đại chúng."
Mặt trận Tổ quốc Việt Nam tham gia tuyên truyền an toàn giao thông như thế nào?,Mặt trận Tổ quốc có trách nhiệm gì trong việc phổ biến luật giao thông?,Vai trò của Mặt trận Tổ quốc trong công tác tuyên truyền an toàn giao thông là gì?,Mặt trận Tổ quốc phối hợp ra sao trong việc tuyên truyền giao thông an toàn?,5,1,"Mặt trận Tổ quốc Việt Nam và các tổ chức thành viên phối hợp với cơ quan hữu quan, chính quyền địa phương để tuyên truyền, vận động nhân dân chấp hành pháp luật về an toàn giao thông."
Đơn vị lực lượng vũ trang và cơ sở giáo dục có trách nhiệm gì trong tuyên truyền giao thông?,Lực lượng vũ trang và nhà trường có nhiệm vụ gì với việc giáo dục an toàn giao thông?,"Trách nhiệm của quân đội, công an và cơ sở giáo dục trong việc phổ biến luật giao thông là gì?",Các tổ chức giáo dục và lực lượng vũ trang tham gia tuyên truyền giao thông ra sao?,5,1,"Đơn vị lực lượng vũ trang, cơ quan, tổ chức và cơ sở giáo dục có trách nhiệm tuyên truyền, phổ biến pháp luật về an toàn giao thông cho các đối tượng thuộc phạm vi quản lý."
Gia đình có vai trò gì trong việc giáo dục an toàn giao thông?,Thành viên gia đình nên làm gì để nhắc nhở nhau tuân thủ luật giao thông?,Gia đình có trách nhiệm ra sao với việc chấp hành luật giao thông?,Vai trò của các thành viên trong gia đình trong việc giữ an toàn giao thông là gì?,5,1,"Các thành viên trong gia đình phải nhắc nhở nhau chấp hành pháp luật giao thông, sử dụng dây đai an toàn, ghế dành cho trẻ em hoặc có người lớn ngồi cùng trẻ dưới 6 tuổi khi đi xe máy, mô tô."
Những ai được tuyên truyền pháp luật về an toàn giao thông?,Đối tượng nào được phổ biến kiến thức về an toàn giao thông?,Ai là đối tượng chính trong các chương trình tuyên truyền giao thông?,Việc tuyên truyền luật giao thông hướng tới những ai?,5,1,Việc tuyên truyền được thực hiện rộng rãi cho mọi tầng lớp nhân dân và người nước ngoài sinh sống tại Việt Nam.
Ủy ban nhân dân các cấp có trách nhiệm gì trong việc tuyên truyền luật giao thông?,Chính quyền địa phương tham gia tuyên truyền an toàn giao thông thế nào?,Vai trò của Ủy ban nhân dân trong phổ biến luật giao thông là gì?,Ủy ban nhân dân các cấp có nhiệm vụ gì với việc nâng cao ý thức giao thông?,5,1,"Ủy ban nhân dân các cấp tổ chức tuyên truyền luật giao thông trong phạm vi nhiệm vụ, quyền hạn của mình, lựa chọn hình thức tuyên truyền phù hợp với từng đối tượng."
Ai là đối tượng được giáo dục kiến thức pháp luật về an toàn giao thông trong nhà trường?,Những đối tượng nào trong hệ thống giáo dục được học về an toàn giao thông?,"Ai được giáo dục pháp luật về trật tự, an toàn giao thông trong các cơ sở giáo dục?",Đối tượng nào trong trường học được trang bị kiến thức luật giao thông?,6,1,"Trẻ em mầm non, học sinh phổ thông và học sinh tại các cơ sở giáo dục nghề nghiệp đều được giáo dục kiến thức pháp luật về trật tự, an toàn giao thông."
Lực lượng Cảnh sát giao thông có nhiệm vụ gì trong việc giáo dục kỹ năng lái xe cho học sinh?,Vai trò của Cảnh sát giao thông trong việc hướng dẫn học sinh lái xe an toàn là gì?,Cảnh sát giao thông tham gia giáo dục giao thông cho học sinh như thế nào?,Ai chịu trách nhiệm tổ chức hướng dẫn lái xe an toàn cho học sinh?,6,1,"Lực lượng Cảnh sát giao thông chủ trì, phối hợp với các cơ sở giáo dục trung học phổ thông và giáo dục nghề nghiệp để hướng dẫn kỹ năng lái xe gắn máy an toàn cho học sinh."
Ai chịu trách nhiệm xây dựng chương trình giảng dạy kiến thức an toàn giao thông trong trường học?,Cơ quan nào xây dựng và lồng ghép kiến thức giao thông vào chương trình học?,Ai đảm nhận việc tích hợp giáo dục giao thông vào chương trình giảng dạy?,Đơn vị nào có trách nhiệm phát triển chương trình giảng dạy về an toàn giao thông?,6,1,"Bộ Giáo dục và Đào tạo, Bộ Lao động - Thương binh và Xã hội chủ trì, phối hợp với Bộ Công an và các cơ quan liên quan để xây dựng, lồng ghép kiến thức giao thông vào chương trình giảng dạy phù hợp với từng cấp học và ngành học."
"Cơ sở dữ liệu về trật tự, an toàn giao thông đường bộ bao gồm những thông tin gì?",Những loại dữ liệu nào được thu thập trong hệ thống giao thông đường bộ?,Thông tin nào được lưu trữ trong cơ sở dữ liệu an toàn giao thông?,Cơ sở dữ liệu giao thông đường bộ chứa những nội dung gì?,7,1,"Cơ sở dữ liệu về trật tự, an toàn giao thông đường bộ gồm:

Dữ liệu đăng ký, quản lý và đăng kiểm xe cơ giới, xe máy chuyên dùng.
Dữ liệu đào tạo, sát hạch, cấp giấy phép lái xe và chứng chỉ bồi dưỡng kiến thức pháp luật.
Thông tin về người điều khiển phương tiện, bảo hiểm xe, xử lý vi phạm hành chính.
Dữ liệu về tai nạn giao thông, hành trình phương tiện, hình ảnh người lái xe.
Dữ liệu quản lý thời gian lái xe và các dữ liệu khác liên quan."
Cơ sở dữ liệu giao thông đường bộ được kết nối với những hệ thống nào?,Hệ thống dữ liệu giao thông được chia sẻ với những cơ sở dữ liệu nào?,Cơ sở dữ liệu giao thông đường bộ liên kết với hệ thống thông tin nào khác?,Những hệ thống dữ liệu nào được kết nối với cơ sở dữ liệu an toàn giao thông?,7,1,"Cơ sở dữ liệu về trật tự, an toàn giao thông đường bộ được kết nối, chia sẻ với:

Cơ sở dữ liệu quốc gia về dân cư.
Cơ sở dữ liệu đường bộ.
Các cơ sở dữ liệu liên quan khác."
Ai quy định chi tiết về việc thu thập và quản lý dữ liệu giao thông đường bộ?,Cơ quan nào chịu trách nhiệm quy định thu thập dữ liệu giao thông?,Ai quyết định quy trình quản lý thông tin an toàn giao thông?,Việc khai thác dữ liệu giao thông đường bộ thuộc thẩm quyền của ai?,7,1,"Chính phủ quy định chi tiết về nội dung, thu thập, quản lý và khai thác thông tin trong cơ sở dữ liệu về trật tự, an toàn giao thông đường bộ."
"Hợp tác quốc tế về trật tự, an toàn giao thông đường bộ cần tuân thủ những nguyên tắc nào?",Nguyên tắc nào được áp dụng khi hợp tác quốc tế về an toàn giao thông?,"Khi hợp tác quốc tế trong lĩnh vực giao thông đường bộ, cần tuân theo những quy định gì?",Hợp tác quốc tế về giao thông đường bộ phải đảm bảo các yếu tố nào?,8,1,"Hợp tác quốc tế về trật tự, an toàn giao thông đường bộ phải:

Tuân thủ pháp luật Việt Nam và điều ước quốc tế mà Việt Nam là thành viên.
Tôn trọng các nguyên tắc cơ bản của pháp luật quốc tế.
Bảo đảm độc lập, chủ quyền, toàn vẹn lãnh thổ, bảo vệ lợi ích quốc gia và quyền lợi hợp pháp của tổ chức, cá nhân."
"Nội dung hợp tác quốc tế về trật tự, an toàn giao thông đường bộ bao gồm những gì?",Hợp tác quốc tế về an toàn giao thông đường bộ tập trung vào những lĩnh vực nào?,Những nội dung nào được ưu tiên trong hợp tác quốc tế về giao thông?,Quốc tế hỗ trợ Việt Nam trong an toàn giao thông đường bộ qua những hình thức nào?,8,1,"Nội dung hợp tác quốc tế về trật tự, an toàn giao thông đường bộ gồm:

Ký kết điều ước, thỏa thuận quốc tế liên quan.
Trao đổi thông tin, chuyển giao công nghệ.
Đào tạo, tập huấn cho lực lượng đảm bảo trật tự giao thông.
Tăng cường điều kiện vật chất phục vụ an toàn giao thông.
Hợp tác giải quyết tai nạn giao thông.
Thực hiện các nội dung hợp tác khác theo quy định pháp luật và điều ước quốc tế."
Cơ quan nào chịu trách nhiệm chính trong hợp tác quốc tế về giao thông đường bộ?,Ai là cơ quan đầu mối hợp tác quốc tế về an toàn giao thông?,Đơn vị nào đại diện Việt Nam đàm phán các thỏa thuận quốc tế về giao thông?,"Cơ quan nào phối hợp với các Bộ, ngành trong hợp tác quốc tế về giao thông?",8,1,"Bộ Công an là cơ quan chủ trì, phối hợp với các Bộ, ngành liên quan để:

Đàm phán, ký kết hoặc đề xuất ký kết điều ước, thỏa thuận quốc tế.
Thực hiện hợp tác quốc tế về trật tự, an toàn giao thông đường bộ."
Người điều khiển phương tiện giao thông cần có những giấy tờ gì khi tham gia giao thông?,"Khi lái xe trên đường, người điều khiển cần mang theo giấy tờ nào?",Giấy tờ bắt buộc đối với người lái xe tham gia giao thông là gì?,Điều kiện về giấy tờ khi điều khiển phương tiện giao thông gồm những gì?,9,1,Người điều khiển phương tiện giao thông phải có giấy phép lái xe hoặc chứng chỉ hợp lệ. Trường hợp điều khiển xe máy chuyên dùng cũng cần giấy phép lái xe hoặc chứng chỉ bồi dưỡng kiến thức giao thông.
Người tham gia giao thông có được phép điều khiển phương tiện khi đã uống rượu bia không?,Việc lái xe sau khi uống rượu bia có được cho phép không?,Người lái xe có thể điều khiển phương tiện nếu trong máu có cồn không?,Có được phép tham gia giao thông khi sử dụng đồ uống có cồn không?,9,1,Không. Người điều khiển phương tiện không được phép lái xe khi trong máu hoặc hơi thở có nồng độ cồn.
Có bị cấm điều khiển phương tiện khi trong cơ thể có chất kích thích không?,Người lái xe sử dụng ma túy có bị cấm tham gia giao thông không?,Lái xe khi có chất kích thích trong cơ thể bị xử lý thế nào?,Việc sử dụng chất cấm rồi lái xe có hợp pháp không?,9,1,Bị cấm. Người điều khiển phương tiện không được phép tham gia giao thông khi trong cơ thể có chất ma túy hoặc chất kích thích bị cấm.
Người dân có được phép sử dụng điện thoại khi lái xe không?,Có được cầm điện thoại khi điều khiển phương tiện giao thông không?,Có được cầm điện thoại khi điều khiển phương tiện giao thông không?,Người lái xe dùng điện thoại trong lúc lái xe có bị cấm không?,9,1,Không. Người lái xe không được phép dùng tay cầm và sử dụng điện thoại hoặc thiết bị điện tử khi phương tiện đang di chuyển.
Hành vi đua xe hoặc cổ vũ đua xe trái phép có bị cấm không?,Có được phép tham gia hoặc cổ vũ đua xe trái phép không?,Tổ chức đua xe không được cấp phép có vi phạm không?,Việc giúp sức cho các cuộc đua xe trái phép có bị xử lý không?,9,1,"Bị cấm. Mọi hành vi đua xe, tổ chức, xúi giục, giúp sức, cổ vũ đua xe trái phép đều không được phép."
Có được giao xe cho người không đủ điều kiện lái không?,Giao xe cho người không có giấy phép lái xe có vi phạm không?,Người không đủ điều kiện lái xe có được nhận xe từ người khác không?,Việc cho mượn xe khi người khác không đủ điều kiện có bị cấm không?,9,1,Không. Việc giao xe cho người không đủ điều kiện điều khiển phương tiện là hành vi bị nghiêm cấm.
Việc chở hàng hóa vượt quá tải trọng cho phép có vi phạm không?,Có được phép chở hàng vượt quá quy định về tải trọng không?,"Khi chưa được cấp phép, chở hàng quá khổ có bị xử phạt không?",Chở hàng không đúng tải trọng quy định có vi phạm luật không?,9,1,"Có. Việc chở hàng vượt quá khối lượng, tải trọng, kích thước cho phép khi chưa được cấp phép là hành vi vi phạm."
"Có được phép lắp đặt đèn, còi gây mất trật tự giao thông không?","Lắp đèn chớp, còi to trên xe khi tham gia giao thông có được cho phép không?","Việc thay đổi thiết bị âm thanh, ánh sáng trên xe có vi phạm không?",Lái xe gắn thiết bị gây ồn có bị xử phạt không?,9,1,"Không. Lắp đặt, sử dụng thiết bị âm thanh, ánh sáng gây mất an toàn giao thông là hành vi bị cấm."
Có được làm giả hoặc sử dụng biển số xe không hợp lệ không?,Việc mua bán biển số xe giả có vi phạm không?,Sử dụng biển số không do cơ quan có thẩm quyền cấp có bị xử phạt không?,Che lấp biển số xe khi tham gia giao thông có hợp pháp không?,9,1,"Không. Mọi hành vi sản xuất, sử dụng, mua bán biển số xe trái phép hoặc che lấp, làm sai lệch biển số đều bị nghiêm cấm."
"Sau khi gây tai nạn giao thông, người điều khiển có được phép rời khỏi hiện trường không?",Có vi phạm không nếu bỏ trốn sau khi gây tai nạn?,"Khi gặp tai nạn giao thông, người liên quan có được rời đi không?",Có trách nhiệm gì khi gây tai nạn mà không hỗ trợ người bị nạn?,9,1,Không. Bỏ trốn sau khi gây tai nạn hoặc không cứu giúp người bị nạn khi có điều kiện là hành vi bị cấm.
Người tham gia giao thông đường bộ cần tuân thủ những nguyên tắc nào khi di chuyển?,"Khi tham gia giao thông, người đi đường cần tuân thủ những quy tắc gì?",Người đi bộ và người lái xe phải chấp hành những quy định nào trên đường?,Có những yêu cầu nào khi di chuyển trên đường bộ?,10,2,"Người tham gia giao thông đường bộ phải đi bên phải theo chiều đi của mình, đi đúng làn đường, phần đường quy định, chấp hành báo hiệu đường bộ và các quy tắc giao thông khác."
Người lái xe và hành khách trên ô tô cần làm gì để đảm bảo an toàn khi di chuyển?,"Khi ngồi trên ô tô, người lái xe và hành khách cần chú ý điều gì để đảm bảo an toàn?",Có bắt buộc phải thắt dây đai an toàn khi đi ô tô không?,Người ngồi trên ô tô cần làm gì để tuân thủ quy tắc an toàn giao thông?,10,2,Người lái xe và người được chở trên xe ô tô phải thắt dây đai an toàn tại những chỗ có trang bị dây đai an toàn khi tham gia giao thông.
